Id,Name,Formal name,Logo,Location,Twitter hashtag,Twitter account
463,ELTE,Eötvös Loránd University,,"@47.4905734,19.0559642",ELTE_UNI,ELTE_UNI
639,HIT,Harbin Institute of Technology,,,,X
692,I.J. Tbilisi SU,I. Javakhishvili Tbilisi State University,,"@41.7095622,44.7710263",TbilisiU,TbilisiU
906,ITESM GDA,ITESM Campus Guadalajara,X,"@20.7324126,-103.4567241",TECcampusGDL,TECcampusGDL
1010,KUET,Khulna University of Engineering & Technology,,"@22.9005573,89.4997762",kuetbd,kuetbd
1303,National Taiwan U,National Taiwan University,,,,X
1315,NUDT,National University of Defense Technology,,,,X
1465,POSTECH,Pohang University of Science and Technology,,"@36.01389,129.3206033",PoSTech,postech2020
1654,SUST,Shahjalal University of Science and Technology,,,,X
1942,CUHK,The Chinese University of Hong Kong,,,,CUHKofficial
1973,UESTC,University of Electronic Science and Technology of China,,,,X
2825,NEU,Northeastern University (China),,,,X
2978,Beijing Jiaotong U,Beijing Jiaotong University,,,,X
3071,UFG,Universidade Federal de Goiás,,,,ufg_oficial
3285,UDESC,Universidade do Estado de Santa Catarina,,"@-27.5859539,-48.5049517",UdESC,udesc
3287,CMUQ,Carnegie Mellon University in Qatar,,"@25.3164268,51.4376054",CarnegieMellonQ,CarnegieMellonQ
3407,WHUT,Wuhan University of Technology,,"@30.5986614,114.3399041",WUT,X
3663,UET - VNU,University of Engineering and Technology - VNU,,,,X
3705,VNUHCM-US,"University of Science, VNU-HCM",,,,X
4846,UNIST,Ulsan National Institute of Science and Technology,,,,X
5362,ISI,Institut Supérieur d'Informatique,,,,X
7064,UNI-FC,Universidad Nacional de Ingeniería - FC,,,,X
7623,TEC Alajuela,Instituto Tecnológico de Costa Rica campus Alajuela,,"@10.0061253,-84.2981228",UTN,utncostarica
7787,Skoltech,Skolkovo Institute of Science and Technology,,"@55.6977437,37.3569929",Skoltech,Skoltech
8631,KU,Kabul University,,"@34.5146816,69.1293394",KabulUnversity,KabulUnversity
10615,SPb SUITD,St. Petersburg State University of Industrial Technologies and Design,X,"@59.9347141,30.3141482",SUTD,SutdNews
10637,AITU,Astana IT University,,,,X
15201,KIU,Kutaisi International University,X,"@42.2112166,42.7135277",KutaisiU,KutaisiU